you2;[i̯ɤʊ̯];;[sound:you2_1.mp3] [i̯ɤʊ̯] EOF [sound:you2_2.mp3] [i̯ɤʊ̯] EOF [sound:you2_3.mp3] [i̯ɤʊ̯] EOF [sound:you2_4.mp3] [i̯ɤʊ̯] EOF [sound:you2_5.mp3] [i̯ɤʊ̯] EOF [sound:you2_6.mp3] [i̯ɤʊ̯] EOF [sound:you2_7.wav] [i̯ɤʊ̯]
you3;[i̯ɤʊ̯];;[sound:you3_1.mp3] [i̯ɤʊ̯] EOF [sound:you3_2.mp3] [i̯ɤʊ̯] EOF [sound:you3_3.mp3] [i̯ɤʊ̯] EOF [sound:you3_4.mp3] [i̯ɤʊ̯] EOF [sound:you3_5.mp3] [i̯ɤʊ̯] EOF [sound:you3_6.mp3] [i̯ɤʊ̯] EOF [sound:you3_7.wav] [i̯ɤʊ̯]
you4;[i̯ɤʊ̯];;[sound:you4_1.mp3] [i̯ɤʊ̯] EOF [sound:you4_2.mp3] [i̯ɤʊ̯] EOF [sound:you4_3.mp3] [i̯ɤʊ̯] EOF [sound:you4_4.mp3] [i̯ɤʊ̯] EOF [sound:you4_5.mp3] [i̯ɤʊ̯] EOF [sound:you4_6.mp3] [i̯ɤʊ̯] EOF [sound:you4_7.wav] [i̯ɤʊ̯]
yan1;[iɛn];;[sound:yan1_1.mp3] [iɛn] EOF [sound:yan1_2.mp3] [iɛn] EOF [sound:yan1_3.mp3] [iɛn] EOF [sound:yan1_4.mp3] [iɛn] EOF [sound:yan1_5.mp3] [iɛn] EOF [sound:yan1_6.mp3] [iɛn] EOF [sound:yan1_7.wav] [iɛn]
yan2;[iɛn];;[sound:yan2_1.mp3] [iɛn] EOF [sound:yan2_2.mp3] [iɛn] EOF [sound:yan2_3.mp3] [iɛn] EOF [sound:yan2_4.mp3] [iɛn] EOF [sound:yan2_5.mp3] [iɛn] EOF [sound:yan2_6.mp3] [iɛn] EOF [sound:yan2_7.wav] [iɛn]
yan3;[iɛn];;[sound:yan3_1.mp3] [iɛn] EOF [sound:yan3_2.mp3] [iɛn] EOF [sound:yan3_3.mp3] [iɛn] EOF [sound:yan3_4.mp3] [iɛn] EOF [sound:yan3_5.mp3] [iɛn] EOF [sound:yan3_6.mp3] [iɛn] EOF [sound:yan3_7.wav] [iɛn]
yan4;[iɛn];;[sound:yan4_1.mp3] [iɛn] EOF [sound:yan4_2.mp3] [iɛn] EOF [sound:yan4_3.mp3] [iɛn] EOF [sound:yan4_4.mp3] [iɛn] EOF [sound:yan4_5.mp3] [iɛn] EOF [sound:yan4_6.mp3] [iɛn] EOF [sound:yan4_7.wav] [iɛn]
yang1;[i̯ɑŋ];;[sound:yang1_1.mp3] [i̯ɑŋ] EOF [sound:yang1_2.mp3] [i̯ɑŋ] EOF [sound:yang1_3.mp3] [i̯ɑŋ] EOF [sound:yang1_4.mp3] [i̯ɑŋ] EOF [sound:yang1_5.mp3] [i̯ɑŋ] EOF [sound:yang1_6.mp3] [i̯ɑŋ] EOF [sound:yang1_7.wav] [i̯ɑŋ]
yang2;[i̯ɑŋ];;[sound:yang2_1.mp3] [i̯ɑŋ] EOF [sound:yang2_2.mp3] [i̯ɑŋ] EOF [sound:yang2_3.mp3] [i̯ɑŋ] EOF [sound:yang2_4.mp3] [i̯ɑŋ] EOF [sound:yang2_5.mp3] [i̯ɑŋ] EOF [sound:yang2_6.mp3] [i̯ɑŋ] EOF [sound:yang2_7.wav] [i̯ɑŋ]
yang3;[i̯ɑŋ];;[sound:yang3_1.mp3] [i̯ɑŋ] EOF [sound:yang3_2.mp3] [i̯ɑŋ] EOF [sound:yang3_3.mp3] [i̯ɑŋ] EOF [sound:yang3_4.mp3] [i̯ɑŋ] EOF [sound:yang3_5.mp3] [i̯ɑŋ] EOF [sound:yang3_6.mp3] [i̯ɑŋ] EOF [sound:yang3_7.wav] [i̯ɑŋ]
yang4;[i̯ɑŋ];;[sound:yang4_1.mp3] [i̯ɑŋ] EOF [sound:yang4_2.mp3] [i̯ɑŋ] EOF [sound:yang4_3.mp3] [i̯ɑŋ] EOF [sound:yang4_4.mp3] [i̯ɑŋ] EOF [sound:yang4_5.mp3] [i̯ɑŋ] EOF [sound:yang4_6.mp3] [i̯ɑŋ] EOF [sound:yang4_7.wav] [i̯ɑŋ]
yin1;[in];;[sound:yin1_1.mp3] [in] EOF [sound:yin1_2.mp3] [in] EOF [sound:yin1_3.mp3] [in] EOF [sound:yin1_4.mp3] [in] EOF [sound:yin1_5.mp3] [in] EOF [sound:yin1_6.mp3] [in] EOF [sound:yin1_7.wav] [in]
yin2;[in];;[sound:yin2_1.mp3] [in] EOF [sound:yin2_2.mp3] [in] EOF [sound:yin2_3.mp3] [in] EOF [sound:yin2_4.mp3] [in] EOF [sound:yin2_5.mp3] [in] EOF [sound:yin2_6.mp3] [in] EOF [sound:yin2_7.wav] [in]
yin3;[in];;[sound:yin3_1.mp3] [in] EOF [sound:yin3_2.mp3] [in] EOF [sound:yin3_3.mp3] [in] EOF [sound:yin3_4.mp3] [in] EOF [sound:yin3_5.mp3] [in] EOF [sound:yin3_6.mp3] [in] EOF [sound:yin3_7.wav] [in]
yin4;[in];;[sound:yin4_1.mp3] [in] EOF [sound:yin4_2.mp3] [in] EOF [sound:yin4_3.mp3] [in] EOF [sound:yin4_4.mp3] [in] EOF [sound:yin4_5.mp3] [in] EOF [sound:yin4_6.mp3] [in] EOF [sound:yin4_7.wav] [in]
ying1;[iŋ];;[sound:ying1_1.mp3] [iŋ] EOF [sound:ying1_2.mp3] [iŋ] EOF [sound:ying1_4.mp3] [iŋ] EOF [sound:ying1_5.mp3] [iŋ] EOF [sound:ying1_6.mp3] [iŋ] EOF [sound:ying1_7.wav] [iŋ]
ying2;[iŋ];;[sound:ying2_1.mp3] [iŋ] EOF [sound:ying2_2.mp3] [iŋ] EOF [sound:ying2_4.mp3] [iŋ] EOF [sound:ying2_5.mp3] [iŋ] EOF [sound:ying2_6.mp3] [iŋ] EOF [sound:ying2_7.wav] [iŋ]
ying3;[iŋ];;[sound:ying3_1.mp3] [iŋ] EOF [sound:ying3_2.mp3] [iŋ] EOF [sound:ying3_4.mp3] [iŋ] EOF [sound:ying3_5.mp3] [iŋ] EOF [sound:ying3_6.mp3] [iŋ] EOF [sound:ying3_7.wav] [iŋ]
ying4;[iŋ];;[sound:ying4_1.mp3] [iŋ] EOF [sound:ying4_2.mp3] [iŋ] EOF [sound:ying4_4.mp3] [iŋ] EOF [sound:ying4_5.mp3] [iŋ] EOF [sound:ying4_6.mp3] [iŋ] EOF [sound:ying4_7.wav] [iŋ]
yong1;[i̯ʊŋ];;[sound:yong1_1.mp3] [i̯ʊŋ] EOF [sound:yong1_2.mp3] [i̯ʊŋ] EOF [sound:yong1_3.mp3] [i̯ʊŋ] EOF [sound:yong1_4.mp3] [i̯ʊŋ] EOF [sound:yong1_5.mp3] [i̯ʊŋ] EOF [sound:yong1_6.mp3] [i̯ʊŋ] EOF [sound:yong1_7.wav] [i̯ʊŋ]
yong2;[i̯ʊŋ];;[sound:yong2_1.mp3] [i̯ʊŋ] EOF [sound:yong2_2.mp3] [i̯ʊŋ] EOF [sound:yong2_3.mp3] [i̯ʊŋ] EOF [sound:yong2_4.mp3] [i̯ʊŋ] EOF [sound:yong2_5.mp3] [i̯ʊŋ] EOF [sound:yong2_6.mp3] [i̯ʊŋ] EOF [sound:yong2_7.wav] [i̯ʊŋ]
yong3;[i̯ʊŋ];;[sound:yong3_1.mp3] [i̯ʊŋ] EOF [sound:yong3_2.mp3] [i̯ʊŋ] EOF [sound:yong3_3.mp3] [i̯ʊŋ] EOF [sound:yong3_4.mp3] [i̯ʊŋ] EOF [sound:yong3_5.mp3] [i̯ʊŋ] EOF [sound:yong3_6.mp3] [i̯ʊŋ] EOF [sound:yong3_7.wav] [i̯ʊŋ]
yong4;[i̯ʊŋ];;[sound:yong4_1.mp3] [i̯ʊŋ] EOF [sound:yong4_2.mp3] [i̯ʊŋ] EOF [sound:yong4_3.mp3] [i̯ʊŋ] EOF [sound:yong4_4.mp3] [i̯ʊŋ] EOF [sound:yong4_5.mp3] [i̯ʊŋ] EOF [sound:yong4_6.mp3] [i̯ʊŋ] EOF [sound:yong4_7.wav] [i̯ʊŋ]
wu1;[u];;[sound:wu1_1.mp3] [u] EOF [sound:wu1_2.mp3] [u] EOF [sound:wu1_3.mp3] [u] EOF [sound:wu1_4.mp3] [u] EOF [sound:wu1_5.mp3] [u] EOF [sound:wu1_6.mp3] [u] EOF [sound:wu1_7.wav] [u]
wu2;[u];;[sound:wu2_1.mp3] [u] EOF [sound:wu2_2.mp3] [u] EOF [sound:wu2_3.mp3] [u] EOF [sound:wu2_4.mp3] [u] EOF [sound:wu2_5.mp3] [u] EOF [sound:wu2_6.mp3] [u] EOF [sound:wu2_7.wav] [u]
wu3;[u];;[sound:wu3_1.mp3] [u] EOF [sound:wu3_2.mp3] [u] EOF [sound:wu3_3.mp3] [u] EOF [sound:wu3_4.mp3] [u] EOF [sound:wu3_5.mp3] [u] EOF [sound:wu3_6.mp3] [u] EOF [sound:wu3_7.wav] [u]
wu4;[u];;[sound:wu4_1.mp3] [u] EOF [sound:wu4_2.mp3] [u] EOF [sound:wu4_3.mp3] [u] EOF [sound:wu4_4.mp3] [u] EOF [sound:wu4_5.mp3] [u] EOF [sound:wu4_6.mp3] [u] EOF [sound:wu4_7.wav] [u]
wa1;[u̯ɑ];;[sound:wa1_1.mp3] [u̯ɑ] EOF [sound:wa1_2.mp3] [u̯ɑ] EOF [sound:wa1_3.mp3] [u̯ɑ] EOF [sound:wa1_4.mp3] [u̯ɑ] EOF [sound:wa1_5.mp3] [u̯ɑ] EOF [sound:wa1_6.mp3] [u̯ɑ] EOF [sound:wa1_7.wav] [u̯ɑ]
wa2;[u̯ɑ];;[sound:wa2_1.mp3] [u̯ɑ] EOF [sound:wa2_2.mp3] [u̯ɑ] EOF [sound:wa2_3.mp3] [u̯ɑ] EOF [sound:wa2_4.mp3] [u̯ɑ] EOF [sound:wa2_5.mp3] [u̯ɑ] EOF [sound:wa2_6.mp3] [u̯ɑ] EOF [sound:wa2_7.wav] [u̯ɑ]
wa3;[u̯ɑ];;[sound:wa3_1.mp3] [u̯ɑ] EOF [sound:wa3_2.mp3] [u̯ɑ] EOF [sound:wa3_3.mp3] [u̯ɑ] EOF [sound:wa3_4.mp3] [u̯ɑ] EOF [sound:wa3_5.mp3] [u̯ɑ] EOF [sound:wa3_6.mp3] [u̯ɑ] EOF [sound:wa3_7.wav] [u̯ɑ]
wa4;[u̯ɑ];;[sound:wa4_1.mp3] [u̯ɑ] EOF [sound:wa4_2.mp3] [u̯ɑ] EOF [sound:wa4_3.mp3] [u̯ɑ] EOF [sound:wa4_4.mp3] [u̯ɑ] EOF [sound:wa4_5.mp3] [u̯ɑ] EOF [sound:wa4_6.mp3] [u̯ɑ] EOF [sound:wa4_7.wav] [u̯ɑ]
wai1;[u̯aɪ̯];;[sound:wai1_1.mp3] [u̯aɪ̯] EOF [sound:wai1_2.mp3] [u̯aɪ̯] EOF [sound:wai1_3.mp3] [u̯aɪ̯] EOF [sound:wai1_4.mp3] [u̯aɪ̯] EOF [sound:wai1_5.mp3] [u̯aɪ̯] EOF [sound:wai1_7.wav] [u̯aɪ̯]
wai3;[u̯aɪ̯];;[sound:wai3_1.mp3] [u̯aɪ̯] EOF [sound:wai3_2.mp3] [u̯aɪ̯] EOF [sound:wai3_3.mp3] [u̯aɪ̯] EOF [sound:wai3_4.mp3] [u̯aɪ̯] EOF [sound:wai3_5.mp3] [u̯aɪ̯] EOF [sound:wai3_7.wav] [u̯aɪ̯]
wai4;[u̯aɪ̯];;[sound:wai4_1.mp3] [u̯aɪ̯] EOF [sound:wai4_2.mp3] [u̯aɪ̯] EOF [sound:wai4_3.mp3] [u̯aɪ̯] EOF [sound:wai4_4.mp3] [u̯aɪ̯] EOF [sound:wai4_5.mp3] [u̯aɪ̯] EOF [sound:wai4_7.wav] [u̯aɪ̯]
